NAME,Total Enrollment,Total Revenue
NEWMAN GROVE SCH DIST 13,174,3810
NEWMAN-CROWS LANDING UNIFIED SCHOOL DISTRICT,3225,48557
NEWMARKET TOWN SCH DIST,1062,21286
NEWPORT CITY SCHS,370,5559
NEWPORT CITY SCHS,2156,48613
NEWPORT INDEP SCH DIST,1589,27864
NEWPORT MESA UNIFIED SCH DIST,20641,365144
NEWPORT NEWS CITY SCHOOLS,28652,367994
NEWPORT SCH DIST,1227,14586
NEWPORT SCH DIST,1048,20050
NEWPORT SCHOOL DISTRICT 56-415,1151,17035
NEWPORT TOWN SCH DIST,98,2823
NEWPORT TOWN SCH DIST,719,7785
NEWPORT TOWN SCH DIST,978,18008
NEWTON CITY SCH,12883,312020
NEWTON CO SCH DIST,1778,16907
NEWTON CO SCH DIST,19734,229421
NEWTON COMMUNITY SCHOOL DISTRICT,2994,42098
NEWTON CONOVER CITY SCHOOLS,3021,29845
NEWTON FALLS EX VLG SCH DIST,969,13359
NEWTON IND SCH DIST 902,1041,14762
NEWTON LOCAL SCH DIST,605,8557
NEWTON MUN SEP SCH DIST,938,10859
NEWTON TOWN SCH DIST,1546,34610
NEWTON UNIFIED SCHOOL DISTRICT 373,3656,51263
NEWTOWN HARRIS SCH DIST R-3,80,1727
NEWTOWN TOWN SCHOOLS,4282,101973
NEZ PERCE JOINT SCHOOL DISTRICT 302,144,2667
NIAGARA FALLS CITY SCH,7159,162713
NIAGARA SCHOOL DISTRICT,431,5995
NIAGARA WHEATFIELD CENTRAL SCHOOL DIST,3610,77106
NIANGUA SCH DIST R-5,338,3561
NICASIO SCHOOL DISTRICT,39,1390
NICE COMMUNITY SCH DIST,1195,15245
NICHOLAS CO SCH DIST,1126,14039
NICHOLAS CO SCH DIST,3735,47757
NICKERSON UNIFIED SCHOOL DISTRICT 309,1192,15034
NICOLET U HIGH SCHOOL DISTRICT,1087,29758
NICOLLET IND SCH DIST 507,391,6008
NILES CITY SCH DIST,2242,31965
NILES COMMUNITY SCHOOLS,3646,45853
NILES SCHOOL DISTRICT 71,600,13847
NILES TOWNSHIP COMMUNITY HIGH SCHOOL DISTRICT 219,4570,205466
NINE MILE FALLS SCHOOL DISTRICT 325,1406,20687
NINEVEH-HENSLEY-JACKSON UNITED SCHOOLS,1899,21692
NINNEKAH SCH DIST 51,530,6034
NIOBRARA CO SCH DIST,809,13648
NIOBRARA SCH DIST 501,227,6976
NIPPERSINK SCHOOL DISTRICT 2,1133,21053
NISKAYUNA CENTRAL SCH,4274,88112
NIXA SCH DIST R 2,6380,68277
NIXON SMILEY IND SCH DISTRICT 903,1074,16434
NOBLE LOCAL SCH DIST,838,20121
NOBLE SCH DIST 40,2777,25995
NOBLEBORO TOWN SCHOOLS,205,3615
NOBLESVILLE SCHOOLS,10611,144157
NOCONA IND SCH DIST 902,774,9962
NODAWAY VALLEY COMMUNITY SCHOOL DISTRICT,652,10160
NODAWAY-HOLT SCH DIST R-7,206,3124
NOGALES UNIFIED SCHOOL DISTRICT 1,5692,49100
NOKOMIS COMMUNITY UNIT SCHOOL DISTRICT 22,629,9003
NOME CITY SCHOOL DISTRICT,700,16588
NOOKSACK VALLEY SCHOOL DISTRICT 506,1899,29662
NORBORNE SCH DIST R 8,170,3150
NORDHEIM IND SCH DISTRICT 902,149,5669
NORDONIA HILLS CITY SCHOOL DIST,3605,50122
NORFOLK CITY SCH DIST 2,4446,51417
NORFOLK CITY SCHOOLS,30087,391331
NORFOLK CO AGRIC H SCH DIST,557,15438
NORFOLK TOWN SCHOOLS,95,3028
NORFOLK TOWN SCHS,963,20075
NORFORK SCH DIST 61,426,5161
NORMAN COUNTY EAST SCHOOL DISTRICT,258,4296
NORMAN SCH DIST 29,16085,162241
NORMANDY SCH DIST,3233,55877
NORMANGEE IND SCH DIST 906,605,7582
NORRIDGE SCHOOL DISTRICT 80,1074,14969
NORRIS CITY-OMAHA-ENFIELD COMMUNITY SCHOOL DISTRICT 3,716,8942
NORRIS ELEM SCH DIST,4176,51189
NORRIS SCH DIST 160,2390,26498
NORRIS SCHOOL DISTRICT,31,2314
NORRISTOWN AREA SCH DIST,7491,164061
NORTH ADAMS COMMUNITY SCHOOL DISTRICT,1780,26421
NORTH ADAMS PUBLIC SCHOOLS,1365,29535
NORTH ADAMS-JEROME PUBLIC SCHOOLS,283,3286
NORTH ALLEGHENY SCH DIST,8493,167732
NORTH ANDOVER TOWN SCH,4769,77372
NORTH ANDREW SCHOOL DIST R-6,352,4683
NORTH ARLINGTONORTH BORO SCH DIST,1869,35638
NORTH ATTLEBOROUGH TOWN SCHOOLS,4155,66137
NORTH BABYLON UNION FREE SCHOOL DIST,4732,117420
NORTH BALTIMORE LOCAL SCH DIST,633,10996
NORTH BEACH SCHOOL DISTRICT 64,745,12387
NORTH BELLMORE UF SCHOOL,2082,56980
NORTH BEND CENTRAL PUBLIC SCHOOLS,611,10780
NORTH BEND SCH DIST 13,4245,49350
NORTH BENNINGTON SCH DIST,128,2416
NORTH BERGEN TWP SCHOOL DISTRICT,7576,152195
NORTH BOLIVAR CONS SCH,937,11606
NORTH BOONE COMMUNITY UNIT SCHOOL DISTRICT 200,1609,29343
NORTH BORDER SCHOOL DISTRICT 100,333,6477
NORTH BRANCH AREA SCH DIST,2353,26459
NORTH BRANCH IND SCHOOL DIST 138,2731,42238
NORTH BRANFORD TOWN SCHOOLS,1729,40604
NORTH BROOKFIELD TOWN SCHOOLS,570,11630
NORTH BRUNSWICK TWP SCH DIST,5983,130339
NORTH BURLINGTON COUNTY REGIONAL HIGH SCHOOL DISTRICT,2190,48177
NORTH BUTLER COMMUNITY SCHOOL DISTRICT,612,8870
NORTH CALDWELL BORO SCH DIST,672,16526
NORTH CALLAWAY SCH DIST R-1,1113,13901
NORTH CANAAN TOWN SCHOOLS,255,6901
NORTH CANTON CITY SCHOOL DISTRICT,4297,55970
NORTH CAPE SCHOOL DISTRICT,198,3206
NORTH CEDAR SCHOOL DISTRICT,688,12511
NORTH CENTRAL AREA SCHS,336,4044
NORTH CENTRAL LOCAL SCHOOL DIST,563,8627
NORTH CENTRAL PARKE COMMUNITY SCHOOL CORPORATION,1146,13697
NORTH CHICAGO UNIT SCHOOL DISTRICT 187,3439,74143
NORTH CLACKAMAS SCH DIST 12,17262,255478
NORTH CLARION COUNTY SCHOOL DIST,631,9554
NORTH CLAY COMMUNITY UNIT SCHOOL DISTRICT 25,618,8550
NORTH CO JOINT UNION SCH DIST,720,8755
NORTH COLLEGE HILL CITY SCHOOL DIST,1602,20952
NORTH COLLINS CENTRAL SCHOOL DISTRICT,615,16564
NORTH COLONIE CENTRAL SCHOOL DISTRICT,5844,116604
NORTH CONEJOS SCH DIST RE-1J,1025,11301
NORTH COUNTRY JUNIOR UHSD #22A,255,5183
NORTH COUNTRY UNION HIGH SCHOOL DIST 22B,685,16538
NORTH COW CREEK ELEM SCH DIST,253,2885
NORTH CRAWFORD SCHOOL DISTRICT,456,7062
NORTH DAVIESS COMMUNITY SCHOOL DISTRICT,1189,14523
NORTH DAVIESS COUNTY SCH DIST R-3,67,1618
NORTH DICKINSON COUNTY SCHOOLS,250,3071
NORTH DOUGLAS SCH DIST 22,338,4674
NORTH EAST IND SCH DIST 910,65186,739477
NORTH EAST NODAWAY SCHOOL DIST R-5,214,3001
NORTH EAST SCHOOL DIST,1659,26166
NORTH FAYETTE COMMUNITY SCHOOL DISTRICT,1127,17200
NORTH FOND DU LAC SCHOOL DISTRICT,1446,22176
NORTH FORK LOCAL SCH DIST,1578,20851
NORTH FRANKLIN SCHOOL DISTRICT J51-162,2190,36244
NORTH GEM SCHOOL DISTRICT 149,171,2376
NORTH GIBSON SCHOOL CORPORATION,2022,30438
NORTH GREEN UNIT SCHOOL DISTRICT 3,865,13034
NORTH GREENBUSH COMMON SCHOOL DIST,21,1968
NORTH HALEDON BOROUGH SCHOOL DISTRICT,624,13641
NORTH HAMPTON TOWN SCH,342,9425
NORTH HANOVER TWP SCH DIST,1117,54714
NORTH HARLEM ELEM DIST 6,13,158
NORTH HARRISON COMMUNITY SCHOOL CORPORATION,2206,25020
NORTH HARRISON SCHOOL DISTRICT R-3,227,2906
NORTH HAVEN TOWN SCHOOLS,3141,73639
NORTH HERO TOWN SCH DIST,70,1625
NORTH HILLS SCHOOL DIST,4481,83559
NORTH HOPKINS IND SCH DIST 906,512,6759
NORTH HUNTERDON-VORHEES REG SCH DIST,2601,65162
NORTH HURON SCHOOL DISTRICT,367,6766
NORTH IOWA COMMUNITY SCHOOL DISTRICT,506,8005
NORTH JACKSON SCHOOL DISTRICT 335,408,5443
NORTH JUDSON-SAN PIERRE SCHOOL CORPORATION,1005,13358
NORTH KANSAS CITY SCHOOL DIST 74,20763,284168
NORTH KINGSTOWN TOWN SCHOOLS,4007,74000
NORTH KITSAP SCHOOL DISTRICT 400,5995,97358
NORTH KNOX SCHOOL CORPORATION,1337,18305
NORTH KOSSUTH COMMUNITY SCHOOL DISTRICT,314,5416
NORTH LAKE SCHOOL DIST 14,224,4281
NORTH LAKE SCHOOL DISTRICT,335,4714
NORTH LAKELAND SCHOOL DISTRICT,152,4160
NORTH LAMAR IND SCH DISTRICT 911,2456,24923
NORTH LAWRENCE COMMUNITY SCHOOLS,4727,64212
NORTH LINN COMMUNITY SCHOOL DISTRICT,589,8941
NORTH LITTLE ROCK SCHOOL DISTRICT,8747,106869
NORTH LYON COUNTY SCHOOL DISTRICT 251,346,6308
NORTH MAC CUSD 34,1310,19157
NORTH MAHASKA COMMUNITY SCHOOL DISTRICT,559,7864
NORTH MARION SCH DIST 15,1887,28273
NORTH MASON SCHOOL DISTRICT 403,2342,37543
NORTH MERCER SCHOOL DISTRICT R-3,190,2820
NORTH MERRICK UNION FREE SCHOOL DIST,1189,31897
NORTH MIAMI COMMUNITY SCHOOLS,911,9840
NORTH MIDDLESEX REG SCH DIST,3070,69859
NORTH MONTEREY CO UNIFIED SCHOOL DISTRICT,4595,71552
NORTH MONTGOMERY COMMUNITY SCHOOL CORPORATION,1829,25770
NORTH MUSKEGON PUBLIC SCHOOLS,1047,11911
NORTH NEWTON SCHOOL CORPORATION,1234,17565
NORTH NODAWAY SCHOOL DISTRICT R-6,222,2861
NORTH OLMSTEAD LOCAL SCH DIST,3796,65716
NORTH OTTAWA COUNTY SCHOOL DISTRICT 239,604,9015
NORTH PALOS SCHOOL DISTRICT 117,3403,64363
NORTH PANOLA CONS SCHOOL DIST,1393,17029
NORTH PARK SCH DIST R 1,184,3513
NORTH PEKIN-MARQUETTE HEIGHTS SCHOOL DISTRICT 102,543,7486
NORTH PEMISCOT COUNTY SCHOOL DIST R-1,224,3364
NORTH PENN SCH DISTRICT,12718,269392
NORTH PIKE CONS SCH DIST,2440,22512
NORTH PLAINFIELD BORO SCHOOL DIST,3342,75590
NORTH PLATTE SCH DIST 1,4230,49587
NORTH PLATTE SCH DIST R-1,641,8056
NORTH POCONO SCHOOL DIST,3027,55710
NORTH POLK COMMUNITY SCHOOL DISTRICT,1861,23457
NORTH POSEY COUNTY SCHOOLS,1451,17129
NORTH POWDER SCH DIST 8J,270,7804
NORTH PROVIDENCE SCHS,3565,64066
NORTH PUTNAM COMMUNITY SCHOOLS,1384,17639
NORTH READING TWN SCH,2398,53101
NORTH RIDGEVILLE CITY SCHOOLS,4393,51276
NORTH RIVER SCHOOL DISTRICT 200,71,2377
NORTH ROCK CREEK,740,8418
NORTH ROSE-WOLCOTT CENTRAL SCHOOL DISTRICT,1268,33486
NORTH ROYALTON CITY SCH DIST,4065,63876
NORTH SALEM CENTRAL SCHOOL DIST,1068,43606
NORTH SANPETE CO SCH DIST,2627,26298
NORTH SANTIAM SD 29 J,2257,31099
NORTH SARGENT PUB SCH DIST 3,216,3496
NORTH SCHUYLKILL SCHOOL DIST,1979,32192
NORTH SCOTT COMMUNITY SCHOOL DISTRICT,3302,42945
NORTH SHORE CENTRAL SCH DIST,2612,105202
NORTH SHORE SCHOOL DISTRICT 112,3889,97878
NORTH SLOPE BOROUGH SCHOOLS,2195,81590
NORTH SMITHFIELD SCHS,1677,29949
NORTH SPENCER COUNTY SCHOOL DISTRICT,2080,24403
NORTH ST FRANCOIS CO SCHOOL DIST R-1,2950,31465
NORTH ST PAUL-MAPLEWOOD SCHOOLS DIST 622,10808,187896
NORTH STAR ELEMENTARY DISTRICT,129,1680
NORTH STAR HIGH SCHOOL DISTRICT,50,1558
NORTH STAR SCHOOL DIST,1084,19410
NORTH STAR SCHOOL DISTRICT 10,304,3959
NORTH STONINGTON PUBLIC SCHOOLS,724,34187
NORTH SUMMIT CO SCH DIST,1076,14896
NORTH SYRACUSE CENTRAL SCHOOL DIST,8800,182056
NORTH TAMA COUNTY COMMUNITY SCHOOL DISTRICT,470,6487
NORTH THURSTON SCHOOL DISTRICT 3,15258,247857
NORTH TIPPAH CONS SCHOOL DIST,1287,11950
NORTH TONAWANDA CITY SCHOOL DIST,3469,78700
NORTH UNION COMMUNITY SCHOOL DISTRICT,355,6923
NORTH UNION LOCAL SCHOOL DIST,1507,20324
NORTH VERMILLION COMMUNITY SCHOOL CORPORATION,759,10425
NORTH WAMAC SCHOOL DISTRICT 186,121,1952
NORTH WARREN CENTRAL SCHOOL DISTRICT,527,13938
NORTH WARREN REG SCH DIST,817,20567
NORTH WASCO COUNTY SCHOOL DISTRICT 21,3015,39568
NORTH WAYNE COMMUNITY UNIT SCHOOL DISTRICT 200,375,6188
NORTH WEST HENDRICKS SCHOOLS,1873,25551
NORTH WESTERN LEHIGH SCHOOL DIST,2114,44719
NORTH WHITE COUNTY CONSOLIDATED SCHOOL CORPORATION,846,13984
NORTH WILDWOOD CITY SCHOOL DIST,227,10787
NORTH WINNESHEIK COMMUNITY SCHOOL DISTRICT,64,3877
NORTH WOOD SCH DIST R 4,211,2902
NORTH ZULCH IND SCH DIST 903,339,4485
NORTHAMPTON AREA SCH DIST,5544,108340
NORTHAMPTON CITY SCH,2626,49836
NORTHAMPTON CO SCHS,1607,20872
NORTHAMPTON COUNTY SCH,1589,25905
NORTHAMPTON-SMITH VOC. SCH.,495,10275
NORTHBORO SOUTHBORO REGIONAL HIGH SCHOOL DISTRICT,1450,30498
NORTHBOROUGH TOWN SCH,1587,36501
NORTHBRIDGE TOWN SCH,2077,40578
NORTHBROOK SCHOOL DISTRICT 27,1252,34944
NORTHBROOK SCHOOL DISTRICT 28,1834,52801
NORTHBROOK-GLENVIEW SCHOOL DISTRICT 30,1208,34755
NORTHEAST ARIZONA TECHNOLOGICAL INSTITUTE OF VOCATIONAL EDUCATIO,29,2727
NORTHEAST BRADFORD SCHOOL DIST,731,14901
NORTHEAST CENTRAL SCH DIST,685,21784
NORTHEAST COMMUNITY SCHOOL DISTRICT,862,11401
NORTHEAST DUBOIS COUNTY SCHOOL CORPORATION,879,11346
NORTHEAST HAMILTON COMMUNITY SCHOOL DISTRICT,108,3827
NORTHEAST METRO REG VOC,1249,32154
NORTHEAST RANDOLPH CO SCHOOL DIST R-4,399,4365
NORTHEAST REGIONAL SCHOOL OF BIOTECHNOLOGY AND AGRISCIENCE,220,2252
NORTHEAST SULLIVAN COUNTY SCHOOL DISTRICT,842,11278
NORTHEAST UNIFIED SCHOOL DISTRICT 246,475,7314
NORTHEAST VERNON CO. R-I,224,2754
NORTHEASTERN CLINTON CENTRAL SCHOOL DIST,1371,31375
NORTHEASTERN LOCAL SCH DIST,1087,20355
NORTHEASTERN LOCAL SCH DIST,3126,42820
NORTHEASTERN WAYNE COUNTY SCHOOL DISTRICT,1338,14083
NORTHEASTERN YORK SCHOOL DIST,3881,73482
NORTHERN ADIRONDACK CENTRAL SCHOOL DIST,855,23183
NORTHERN BEDFORD CO SCH DIST,890,14500
NORTHERN BERKSHIRE REG VOC SCHOOL DIST,496,12102
NORTHERN CAMBRIA SCH DIST,989,18449
NORTHERN CASS SCHOOL DISTRICT 97,634,9282
NORTHERN HIGHLANDS REG HIGH SCHOOL DIST,1421,36742
NORTHERN HUMBOLDT UHSD,1640,25527
NORTHERN LEBANON SCH DIST,2302,40224
NORTHERN LEHIGH SCHOOL DISTRICT,1552,33755
NORTHERN LOCAL SCH DIST,2197,28044
NORTHERN OZAUKEE SCHOOL DISTRICT,1030,16313
NORTHERN POTTER SCH DIST,515,11340
NORTHERN TIOGA SCH DIST,2180,36238
NORTHERN VALLEY REG HIGH SCHOOL DISTRICT,2233,94856
NORTHERN VALLEY UNIFIED SCHOOL DISTRICT 212,165,2712
NORTHERN WELLS COUNTY COMMUNITY SCHOOL DISTRICT,2502,28119
NORTHERN YORK COUNTY SCHOOL DIST,3224,49871
NORTHFIELD CITY SCHOOL DIST,919,18748
NORTHFIELD SCH DIST 659,4067,66191
NORTHFIELD TOWNSHIP HIGH SCHOOL DISTRICT 225,5163,185287
NORTHGATE SCH DIST,1073,24359
NORTHLAND COMMUNITY SCHOOLS DISTRICT,360,8540
NORTHLAND LEARNING CENTER,153,9562
NORTHLAND PINES SCHOOL DISTRICT,1306,25289
NORTHMONT CITY SCHOOL DIST,4964,70330
NORTHMOR LOCAL SCH DIST,1043,15118
NORTHPORT PUBLIC SCHOOL DISTRICT,141,5214
NORTHPORT PUBLIC SCHOOLS,136,3265
NORTHPORT SCHOOL DISTRICT 211,218,4853
NORTHPORT-E NORTHPORT UNION FREE SCH DIST,5278,169540
NORTHRIDGE LOCAL SCH DIST,1198,15352
NORTHRIDGE LOCAL SCH DIST,1545,39272
NORTHSHORE SCHOOL DISTRICT 417,23500,417055
NORTHSIDE IND SCH DIST 905,222,2994
NORTHSIDE IND SCH DIST 915,106501,1212142
NORTHUMBERLAND CO SCHS,1315,19815
NORTHUMBERLAND TOWN SCH DIST,326,5833
NORTHVALE BORO SCH DIST,534,12172
NORTHVIEW PUBLIC SCH DIST,3327,44953
NORTHVILLE CENTRAL SCH DIST,464,11823
NORTHVILLE PUBLIC SCHOOL DIST,7334,113651
NORTHWEST ALLEN COUNTY SCHOOLS,7722,87191
NORTHWEST ARCTIC BOROUGH SCHOOLS,2087,74133
NORTHWEST AREA SCH DIST,996,19930
NORTHWEST COMMUNITY SCHOOLS,3558,40258
NORTHWEST HALL CO HIGH SCHOOL DIST 82,1546,19652
NORTHWEST IND SCH DISTRICT 911,24141,323119
NORTHWEST LOCAL SCH DIST,1373,22115
NORTHWEST LOCAL SCH DIST,1785,24700
NORTHWEST LOCAL SCH DIST,9200,105403
NORTHWEST SCH DIST R-1,6293,73883
NORTHWESTERN COMMUNITY UNIT SCHOOL DISTRICT 2,358,6269
NORTHWESTERN LOCAL SCH DIST,1354,17531
NORTHWESTERN LOCAL SCHOOL DIST,1757,22765
NORTHWESTERN SCH DIST,1374,22827
NORTHWESTERN SCH DIST R1,176,2487
NORTHWESTERN SCHOOL CORPORATION,1817,21963
NORTHWESTERN SCHOOL DISTRICT 56-7,280,3423
NORTHWESTRN CONSOLIDATED SCHOOL DISTRICT,1539,17348
NORTHWOOD LOCAL SCH DIST,913,14586
NORTHWOOD SCH DIST 129,317,4872
NORTHWOOD SCHOOL DISTRICT,325,5844
NORTHWOOD TOWN SCH DIST,374,11703
NORTHWOOD-KENSETT COMMUNITY SCHOOL DISTRICT,597,8448
NORTON CITY SCH DIST,2558,26641
NORTON CITY SCHOOLS,842,9559
NORTON PUBLIC SCH,2438,45750
NORTON UNIFIED SCHOOL DISTRICT 211,688,9350
NORWALK CITY SCH DIST,2715,33502
NORWALK CITY SCHOOLS,11421,274293
NORWALK COMMUNITY SCHOOL DISTRICT,3205,39955
NORWALK LA MIRADA UNIF SCH DIST,17387,296031
NORWALK-ONTARIO-WILTON SCHOOL DISTRICT,658,11011
NORWAY TOWN JOINT SCHOOL DISTRICT 7,105,1594
NORWAYNE LOCAL SCHOOL DISTRICT,1468,15997
NORWAY-VULCAN AREA SCH DIST,686,8038
NORWELL TOWN SCHOOLS,2192,43073
NORWICH CITY SCH DIST,1831,44114
NORWICH CITY SCHOOLS,3510,106649
NORWICH TOWN SCH DIST,318,12853
NORWIN SCH DIST,5297,74691
NORWOOD BORO SCH DIST,618,13122
NORWOOD CITY SCH DIST,1909,35054
NORWOOD NORFOLK CENT SCH DIST,1006,25168
NORWOOD SCH DIST 14,130,1688
NORWOOD SCH DIST R 1,343,4424
NORWOOD SCH DIST R-2J,203,4479
NORWOOD SCHOOL DISTRICT 63,442,5906
NORWOOD TOWN SCHS,3422,71440
NORWOOD YOUNG AMERICA SCHOOL DIST 108,986,12862
NOTTAWA COMM SCH DIST,116,1288
NOTTINGHAM TOWN SCH DIST,506,12611
NOTTOWAY CO SCHS,2043,24831
NOTUS SCHOOL DISTRICT 135,425,4748
NOVATO UNIF SCH DIST,7419,117894
NOVI COMMUNITY SCHOOL DISTRICT,6694,100815
NOWATA SCH DIST 40,793,8698
NOXON ELEM SCH DIST 10,121,1900
NOXON H S DIST 10,71,1456
NOXUBEE COUNTY SCHOOL DISTRICT,1495,17022
NRHEG SCHOOL DISTRICT 2168,899,10904
NUECES CANYON IND SCH DIST 902,280,4007
NUESTRO ELEM SCH DIST,170,2229
NURSERY IND SCH DIST 904,132,3033
NUTLEY TOWN SCH DIST,4152,82339
NUVIEW UNION SCHOOL DISTRICT,2185,30912
NYACK UNION FREE SCH DIST,3045,90515
NYE COUNTY SCHOOL DISTRICT,5367,71906
NYE ELEM DIST 31,3,147
NYSSA SCH DIST 26,1260,17626
O DONNELL IND SCH DIST 903,309,6365
OAK BLUFFS TOWN SCHS,370,11544
OAK CREEK-FRANKLIN SCHOOL DISTRICT,6604,87190
OAK GROVE ELEM SCH DIST,9877,145333
OAK GROVE SCH DIST 104,170,1326
OAK GROVE SCH DIST R 6,2003,20417
OAK GROVE SCHOOL DISTRICT 68,269,5358
OAK GROVE SCHOOL DISTRICT 68,916,22312
OAK GROVE UNION ELEM SCH DIST,853,13915
OAK HARBOR SCHOOL DISTRICT 201,6016,96339
OAK HILL SCH DIST R 1,140,1916
OAK HILL UNION LOCAL SCH DIST,1196,17776
OAK HILL UNITED SCHOOL CORPORATION,1725,19395
OAK HILLS LOCAL SCH DISTRICT,7657,81937
OAK LAWN C HIGH SCHOOL DISTRICT 229,1842,41819
OAK LAWN-HOMETOWN SCHOOL DISTRICT 123,3305,59736
OAK PARK ELEMENTARY SCHOOL DISTRICT 97,6076,118721
OAK PARK RIVER FOREST HIGH SCHOOL DISTRICT 200,3416,100815
OAK PARK SCH DIST,4368,59970
OAK PARK UNIFIED SCHOOL DIST,4579,55239
OAK RIDGE CITY SCHOOL DISTRICT,4701,63517
OAK RIDGE SCH DIST R 6,390,4228
OAK RUN ELEM SCHOOL DIST,68,1007
OAK VALLEY UNION ELEM SCH DIST,551,7066
OAK VIEW ELEM SCH DIST,376,4743
OAKDALE COMMUNITY UNIT SCHOOL DISTRICT 1,69,858
OAKDALE JOINT UNIFIED SCHOOL DISTRICT,5396,65891
OAKDALE SCH DIST 29,652,8779
OAKES PUBLIC SCH DIST 41,493,6475
OAKESDALE SCHOOL DISTRICT 324,142,3514
OAKFIELD SCHOOL DISTRICT,548,8730
OAKFIELD-ALABAMA CTL SCH DIST,830,20867
OAKLAND BORO SCH DIST,1362,36541
OAKLAND COMMUNITY UNIT SCHOOL DISTRICT 5,257,4699
OAKLAND SCH DIST 1,614,7365
OAKLAND UNIF SCH DIST,36524,761880
OAKLAND-CRAIG PUBLIC SCHOOLS,465,7015
OAKLEY UNIFIED SCHOOL DISTRICT 274,467,5608
OAKLEY UNION ELEMENTARY SCHOOL DISTRICT,5267,63548
OAKLYN BORO SCH DIST,233,9285
OAKRIDGE SCH DIST 76,578,9170
OAKRIDGE SCHOOL DIST,2039,24025
OAKS-MISSION SCHOOL DISTRICT #5,200,2510
OAKVILLE SCHOOL DISTRICT 400,223,5313
OAKWOOD CITY SCH DIST,2056,31500
OAKWOOD COMMUNITY DISTRICT 76,979,13025
OAKWOOD IND SCH DIST 907,199,2871
OBERLIN CITY SCH DIST,962,17465
OBERLIN UNIFIED SCHOOL DISTRICT 294,354,5232
OBERON SPEC SCH DIST 16,64,2153
OBION CO SCH DIST,3282,33544
OBLONG COMMUNITY UNIT SCHOOL DISTRICT 4,615,8006
OCEAN BEACH SCHOOL DISTRICT 101,1078,20158
OCEAN CITY SCHOOL DIST,2123,49499
OCEAN COUNTY VOCATIONAL SCHOOL,605,37089
OCEAN GATE BORO SCH DIST,142,3643
OCEAN SPRINGS SCHOOL DISTRICT,5936,54496
OCEAN TWP SCH DIST,510,21065
OCEAN TWP SCHOOL DIST,3458,92009
OCEAN VIEW ELEM SCH DIST,7986,113985
OCEAN VIEW SCHOOL DISTRICT,2564,38023
OCEANPORT BORO SCH DIST,599,13284
OCEANSIDE UF SCH DIST,5537,157096
OCEANSIDE UNIF SCH DIST,17648,265747
OCONEE CO SCHOOL DISTRICT,8019,94218
OCONEE COUNTY SCHOOL DISTRICT,10603,145596
OCONOMOWOC AREA SCHOOL DISTRICT,5272,79811
OCONTO FALLS PUBLIC SCHOOL DISTRICT,1691,27025
OCONTO UNIFIED SCHOOL DISTRICT,1006,15675
OCOSTA SCHOOL DISTRICT 172,633,12466
OCTORARA AREA SCHOOL DIST,2258,54477
ODEBOLT ARTHUR COMMUNITY SCHOOL DISTRICT,1017,13848
ODELL COMMUNITY CONSOLIDATED SCHOOL DISTRICT 435,143,2251
ODEM EDROY IND SCHOOL DIST 905,905,14200
ODESSA MONTOUR CENTRAL SCHOOL DIST,787,18590
ODESSA SCH DIST R 7,2011,23027
ODESSA SCHOOL DISTRICT 105-157-166J,247,4841
ODIN PUBLIC SCHOOL DSITRICT 722,250,3547
OELRICHS SCHOOL DISTRICT 23-3,141,3605
OELWEIN COMMUNITY SCHOOL DISTRICT,1318,18610
O'FALLON COMMUNITY CONSOLIDATED SCHOOL DISTRICT 90,3735,46271
OFALLON TOWNSHIP HIGH SCHOOL DISTRICT 203,2402,47959
OFFICE OF EDUC SPL SCHS OPER BY CO SUPT,988,208629
OGALLALA PUBLIC SCHOOL DISTRICT,901,14533
OGDEN CITY SCH DIST,11782,129527
OGDEN COMMUNITY SCHOOL DISTRICT,752,10453
OGDENSBURG BORO SCH DIST,236,5948
OGDENSBURG CITY SCH DIST,1642,47023
OGILVIE IND SCH DIST 333,510,7424
OGLALA LAKOTA COUNTY SCHOOL DISTRICT 65-1,1415,39787
OGLESBY ELEMENTARY SCHOOL DISTRICT 125,535,7882
OGLESBY IND SCH DIST 904,169,2226
OGLETHORPE CO SCH DIST,2102,28131
OHIO CO SCH DIST,4261,47935
OHIO COMMUNITY CONSOLIDATED SCHOOL DISTRICT 17,76,2050
OHIO COMMUNITY HIGH SCHOOL DISTRICT 505,29,1759
OHIO COUNTY SCH DIST,5278,74495
OIL CITY AREA SCH DIST,1878,34105
OILTON SCH DIST 20,276,2966
OJAI UNIFIED SCH DIST,2383,35170
OKALOOSA COUNTY SCHOOL DISTRICT,31855,320235
OKANOGAN SCHOOL DISTRICT 105,1147,16792
OKARCHE SCH DIST 105,391,9698
OKAW VALLEY COMMUNITY UNIT SCHOOL DISTRICT 302,508,7896
OKAY SCH DIST 1,371,3903
OKEECHOBEE COUNTY SCHOOL DISTRICT,6481,66150
OKEENE SCH DIST 9,346,5581
OKEMAH SCH DIST 26,795,9230
OKEMOS PUBLIC SCH DIST,4546,64841
OKLAHOMA CITY SCH DIST 89,37530,406824
OKLAHOMA UNION SCH DIST 3,640,6880
OKMULGEE SCH DIST 1,1276,14999
OKOBOJI COMMUNITY SCHOOL DISTRICT,1116,17081
OKOLONA MUN SEP SCH DIST,578,6721
OKTAHA SCH DIST 8,702,6996
OLATHE UNIFIED SCHOOL DISTRICT 233,30022,465616
OLD ADOBE UNION SCHOOL DISTRICT,1909,29684
